,index,City,Country,Lat,Long,Cloudiness,Humidity,Max Temp,Wind Speed
383,383,ghanzi,BW,-21.7,21.65,74,31,297.66,2.82
385,385,san quintin,PH,17.54,120.52,44,60,300.66,7.79
386,386,aswan,EG,24.09,32.9,0,56,287.04,4.33
387,387,san luis,AR,-33.3,-66.34,0,41,298.65,9.86
388,388,huicungo,PE,-7.28,-76.8,77,92,291.66,1.89
389,389,vilyuysk,RU,63.75,121.63,98,93,253.69,5.65
390,390,labytnangi,RU,66.66,66.39,0,87,249.32,1.57
391,391,grande prairie,CA,55.17,-118.79,40,91,254.15,1
393,393,santa maria,BR,-16.02,-48.01,40,83,296.15,1.5
394,394,uray,RU,60.13,64.8,17,96,262.3,2.23
396,396,kandrian,PG,-6.21,149.55,58,54,303.08,4.02
397,397,roma,IT,41.89,12.48,97,93,287.04,1.5
398,398,bhum,IN,18.47,75.67,0,63,296.37,3.07
399,399,northam,AU,-31.65,116.67,0,33,295.15,7.2
400,400,umm kaddadah,SD,13.6,26.69,0,22,293.55,5.65
401,401,talnakh,RU,69.49,88.39,75,83,251.15,15
402,402,grand-santi,GF,4.27,-54.38,100,99,295.96,0.8
403,403,mbini,GQ,1.58,9.62,7,83,299.62,2.6
404,404,tavricheskoye,RU,54.59,73.64,40,71,260.15,3
405,405,rundu,NA,-17.91,19.77,5,50,298.15,1.5
406,406,khani,GE,41.96,42.96,75,93,281.15,3.6
407,407,lazaro cardenas,MX,28.39,-105.62,75,55,290.15,2.6
408,408,kondopoga,RU,62.21,34.27,100,80,275.15,4
409,409,mecca,SA,21.43,39.83,0,67,296.64,1.44
410,410,sao joao da barra,BR,-21.64,-41.05,100,95,295.81,3.76
411,411,bambous virieux,MU,-20.34,57.76,20,94,298.15,1.5
412,412,mana,NG,13.03,5.27,7,16,295.77,3.77
413,413,yarmouth,CA,43.84,-66.12,90,93,277.04,10.8
414,414,chapada dos guimaraes,BR,-15.46,-55.75,75,74,300.15,4.1
415,415,vawkavysk,BY,53.15,24.45,100,97,279.08,3.93
416,416,ullapool,GB,57.9,-5.16,0,86,276.48,0.89
417,417,ust-nera,RU,64.57,143.24,100,99,236.98,1.2
418,418,khomeyn,IR,33.64,50.08,9,57,273.68,1.6
420,420,bustamante,MX,26.53,-100.51,53,73,288.53,1.95
421,421,wewak,PG,-3.55,143.63,100,73,301.66,3.15
422,422,manyana,AU,-35.26,150.51,0,42,305.37,6.7
423,423,mayor pablo lagerenza,PY,-19.93,-60.77,90,65,298.29,2
424,424,fort collins,US,40.55,-105.07,1,85,271.48,1.5
425,425,quatre cocos,MU,-20.21,57.76,20,94,298.15,1.5
426,426,henties bay,NA,-22.12,14.28,95,91,289.82,0.89
427,427,sorland,NO,67.67,12.69,100,79,275.54,10.32
428,428,ampanihy,MG,-24.69,44.75,0,80,292.92,4.45
429,429,sola,TZ,-3.17,33.8,81,92,291.13,1.73
430,430,itarema,BR,-2.92,-39.92,4,85,298.14,3.28
431,431,matay,EG,28.42,30.79,0,83,286.51,2.66
432,432,takoradi,GH,4.89,-1.75,1,82,299.94,1.47
434,434,port hedland,AU,-20.31,118.58,0,56,307.15,5.7
435,435,port moresby,PG,-9.47,147.16,40,59,305.15,7.7
437,437,banda aceh,ID,5.56,95.32,77,75,301.12,2.55
438,438,xixiang,CN,22.58,113.87,20,52,292.59,3.6
439,439,jalu,LY,29.03,21.55,0,77,287.44,2.4
441,441,oussouye,SN,12.49,-16.54,0,70,295.87,3.17
442,442,aksehir,TR,38.36,31.42,100,75,281.54,3.16
443,443,karpogory,RU,64,44.44,100,89,271.14,5.22
445,445,road town,VG,18.42,-64.62,40,78,299.26,1.5
446,446,siniscola,IT,40.57,9.69,69,96,281.58,2.62
447,447,rawson,AR,-43.3,-65.11,100,71,288.9,6.23
448,448,ayan,IR,38.23,44.7,97,85,271.8,2.19
449,449,businga,CD,3.34,20.89,100,98,293.71,0.63
450,450,mehamn,NO,71.03,27.85,100,95,270.3,7.98
451,451,meadow lake,CA,54.13,-108.44,83,89,262.21,3.32
452,452,ostrovnoy,RU,68.05,39.51,100,94,268.72,6.74
453,453,balkanabat,TM,39.51,54.36,94,45,280.6,4.85
454,454,horizontina,BR,-27.63,-54.31,23,63,289.82,1.44
455,455,poya,NC,-21.35,165.16,0,77,296.82,8.27
456,456,colac,AU,-38.34,143.59,88,80,291.48,2.68
457,457,miri,NG,10.31,9.75,8,23,293.07,1.73
458,458,douentza,ML,15.01,-2.95,0,23,292.98,1.74
459,459,issenye,CM,12.51,14.37,14,30,297.91,5.31
460,460,belmonte,PT,40.36,-7.35,100,99,287.59,9.83
461,461,tabuk,PH,17.41,121.44,88,82,295.94,6.87
